Terremoti (anno),Geni,mexicodoug,nixonrichard,aletoledo,Terremoti dal 1800 (giorni dall'anno 0)
1400,511800,1195034942,1198985288,1193874942,680965
1400,513217,1195035189,1198985684,1193875152,680969
1402,513625,1195035370,1198986130,1193875816,681003
1403,514080,1195037114,1198986870,1193876239,681099
1403,515143,1195084098,1198987224,1193876471,681158
1404,515780,1195084175,1198987285,1193876789,681199
1405,516649,1195084532,1199007382,1193876960,681229
1406,517564,1195086665,1199009568,1193877125,681252
1407,518363,1195086786,1199041698,1193877340,681258
1408,518957,1195087077,1199042888,1193877472,681342
1408,519640,1195087868,1199043825,1193877735,681387
1414,522485,1195087997,1199044285,1193878527,681390
1417,526805,1195088372,1199046749,1193878737,681394
1418,527173,1195088867,1199047206,1193878898,681462
1419,527864,1195090173,1199047297,1193878943,681469
1426,528163,1195107488,1199047554,1193879569,681480
1427,528869,1195108246,1199058691,1193879989,681509
1428,529356,1195109457,1199060093,1193880725,681558
1431,530519,1195109929,1199060453,1193882287,681575
1433,531675,1195112918,1199061206,1193882532,681587
1440,532235,1195114030,1199061459,1193882646,681588
1440,533140,1195114200,1199061806,1193883326,681592
1441,534934,1195115236,1199061926,1193883998,681618
1441,535810,1195115746,1199062871,1193884437,681699
1443,536720,1195115970,1199063269,1193886106,681801
1444,536998,1195116239,1199065217,1193887296,681890
1444,538371,1195116734,1199082030,1193888199,681914
1445,539783,1195119717,1199086546,1193888788,681923
1447,541112,1195121030,1199091305,1193923893,681948
1448,542485,1195121663,1199091830,1193924927,681955
1451,543281,1195121902,1199129029,1193925942,681988
1454,544538,1195123198,1199129175,1193926117,681998
1454,545904,1195123702,1199131604,1193926569,682025
1455,547838,1195124020,1199132159,1193927305,682081
1456,548850,1195125417,1199132277,1193928311,682162
1456,549662,1195125705,1199132465,1193928968,682181
1456,550750,1195277940,1199163739,1193930871,682239
1457,551814,1195278545,1199164114,1193931882,682252
1458,552441,1195279330,1199219062,1193932390,682269
1458,553166,1195280985,1199219685,1193932767,682307
1459,553834,1195281350,1199227055,1193933326,682364
1461,555255,1195282626,1199227151,1193934042,682380
1461,555884,1195289247,1199228622,1193934810,682384
1463,556098,1195290372,1199228963,1193936831,682400
1464,557402,1195293033,1199233290,1193936958,682422
1469,558197,1195295596,1199237915,1193943434,682429
1471,558920,1195297373,1199238977,1193944628,682432
1471,558920,1195298056,1199239319,1193953955,682467
1475,561565,1195298407,1199241747,1193954877,682509
1475,562553,1195298859,1199249560,1193955180,682510
1478,563071,1195300500,1199257186,1193955832,682511
1479,563946,1195300931,1199257522,1193956182,682512
1481,564038,1195301130,1199258378,1193956932,682513
1481,565195,1195301494,1199264331,1193959089,682532
1481,565321,1195302504,1199269138,1193959310,682541
1481,566056,1195303060,1199304314,1193959878,682559
1481,566361,1195303273,1199304667,1193960212,682573
1482,567333,1195303460,1199305650,1193960392,682575
1482,567538,1195303657,1199307511,1193961457,682578
1482,568125,1195303965,1199307684,1193962006,682587
1483,570116,1195304317,1199308176,1193962108,682648
1483,570677,1195304854,1199308249,1193962224,682662
1484,571689,1195305422,1199308825,1193962539,682679
1484,572144,1195305854,1199311938,1193962753,682688
1485,572307,1195306345,1199335538,1193963697,682692
1487,572594,1195307246,1199335816,1193964065,682695
1488,573179,1195307946,1199337864,1193964538,682699
1489,573960,1195308790,1199339549,1193964769,682718
